#,項目號碼,項目說明,製造商,上次採購價格,供應商最新報價
2344,08-04GRM2111,PCB MAIN BOARD GRM21L2 4LAYER V1.1 PB_FREE,CIRCUITECH,,
2345,08-04GRM2112,PCB MAIN BOARD GRM21L2 4LAYER V1.2 PB_FREE,CIRCUITECH,NTD 133.0000,NTD 133.0000
2346,08-04GTQ0110,PCB MAIN BOARD GTQ01L5 4LAYER V1.0 PB_FREE,KINTECH,"NTD 1,333.3333",
2347,08-04GTQ0111,PCB MAIN BOARD GTQ01L5 4LAYER V1.1 PB_FREE,KINTECH,,
2348,08-04GVH0110,PCB MAIN BOARD GVH01L1 4LAYER V1.0 PB_FREE,KINTECH,,
2349,08-04GVH0111,PCB MAIN BOARD GVH01L1 4LAYER V1.1 PB_FREE,CIRCUITECH,,
2350,08-04HDH2110,PCB MAIN BOARD HDH21L1 4LAYER V1.0 PB_FREE,KINTECH,NTD 135.9300,NTD 138.0000
2351,08-04HDM1110,PCB MAIN BOARD HDM11L1 4LAYER V1.0 PB_FREE,CIRCUITECH,,
2352,08-04HDM1111,PCB MAIN BOARD HDM11L1 4LAYER V1.1 PB_FREE,CIRCUITECH,,
2353,08-04HDM1112,PCB MAIN BOARD HDM11L1 4LAYER V1.2 PB_FREE,CIRCUITECH,NTD 65.0000,NTD 65.0000
2354,08-04HDM11C3,PCB MB DS120j(HDM11L1) 4LAYERS V1.3 (TG-150),CIRCUITECH,,
2355,08-04HDM11C4,PCB MB DS120j(HDM11L1) 4LAYERS V1.4 (TG-150),CIRCUITECH,NTD 750.0000,
2356,08-04HDM11C5,PCB MB DS120j(HDM11L1) 4LAYERS V1.5 (TG-150),CIRCUITECH,NTD 65.0000,NTD 65.0000
2357,08-04HDM2110,PCB MAIN BOARD HDM21L1 4LAYER V1.0 PB_FREE,CIRCUITECH,,
2358,08-04HDM2111,PCB MAIN BOARD HDM21L1 4LAYER V1.1 PB_FREE,CIRCUITECH,,
2359,08-04HDM2112,PCB MAIN BOARD HDM21L1 4LAYER V1.2 PB_FREE,CIRCUITECH,,
2360,08-04HDM2210,PCB MAIN BOARD HDM22L1 4LAYER V1.0 PB_FREE,CIRCUITECH,NTD 60.0000,NTD 60.0000
2361,08-04HDM2310,PCB MAIN BOARD HDM23L1 4LAYER V1.0 PB_FREE,CIRCUITECH,NTD 68.0000,NTD 68.0000
2362,08-04HDR1110,PCB MAIN BOARD HDR11L1 4LAYER V1.0 PB_FREE,CIRCUITECH,NTD 70.0000,NTD 70.0000
2363,08-04HDR2210,PCB MAIN BOARD HDR22L2 4LAYER V1.0 PB_FREE,CIRCUITECH,"NTD 1,333.3333",
2364,08-04HDR2211,PCB MAIN BOARD HDR22L2 4LAYER V1.1 PB_FREE,CIRCUITECH,NTD 70.0000,NTD 70.0000
2365,08-04HDR2310,PCB MAIN BOARD HDR23L1 4LAYER V1.0 PB_FREE,CIRCUITECH,,
2366,08-04HDR2311,PCB MAIN BOARD HDR23L1 4LAYER V1.1 PB_FREE,CIRCUITECH,NTD 140.0000,NTD 140.0000
2367,08-04HDR4110,PCB MAIN BOARD HDR41L2 4LAYER V1.0 PB_FREE,CIRCUITECH,NTD 800.0000,
2368,08-04HDR4111,PCB MAIN BOARD HDR41L2 4LAYER V1.1 PB_FREE,CIRCUITECH,NTD 152.0000,NTD 152.0000
2369,08-04HDR4112,PCB MAIN BOARD HDR41L2 4LAYER V1.2 PB_FREE,CIRCUITECH,NTD 145.0000,NTD 145.0000
2370,08-04HDR41C3,PCB MB DS418(HDR41L2) 4LAYERS V1.3 (TG-150),CIRCUITECH,NTD 145.0000,NTD 145.0000
2371,08-04HRX4010,PCB MAIN BOARD HRX4 4LAYER V1.0 PB_FREE,CIRCUITECH,,
2372,08-04HRX4011,PCB MAIN BOARD HRX4 4LAYER V1.1 PB_FREE,CIRCUITECH,NTD 140.0000,NTD 140.0000
2373,08-04IUSB210,PCB MAIN BOARD iUSB 2.0 4Layer 16連板 V1.0 PB_FREE,CIRCUITECH,,
2374,08-04IUSB211,PCB MAIN BOARD iUSB 2.0 4Layer 16連板  v1.1 PB_FREE,CIRCUITECH,NTD 200.0000,NTD 200.0000
2375,08-04IUSB212,PCB MAIN BOARD iUSB2 4Layer 16連板  v1.2 PB_FREE,CIRCUITECH,"NTD 2,000.0000","NTD 2,000.0000"
2376,08-04IUSB213,PCB MAIN BOARD iUSB2 4Layer 16連板  v1.3 PB_FREE,CIRCUITECH,NTD 25.0000,NTD 25.0000
2377,08-04IUSBN20,PCB MAIN BOARD i-USB-N 4LAYER V2.0 PB_FREE,TEAN,NTD 12.0000,NTD 12.0000
2378,08-04JDR2110,PCB MAIN BOARD JDR21L1 4LAYER V1.0 PB_FREE,CIRCUITECH,,NTD 60.0000
2379,08-04JDR2111,PCB MAIN BOARD JDR21L1 4LAYER V1.1 PB_FREE,CIRCUITECH,,
2380,08-04JDR2112,PCB MAIN BOARD JDR21L1 4LAYER V1.2 PB_FREE,CIRCUITECH,NTD 70.0000,NTD 70.0000
2381,08-04JDR21C3,PCB MB DS220j(JDR21L1) 4LAYERS V1.3 (TG-150),CIRCUITECH,NTD 70.0000,NTD 70.0000
2382,08-04JRI8S10,PCB MAIN BOARD RS1219+ HDD BP 4LAYER V1.0 PB_FREE,CIRCUITECH,,
2383,08-04JRI8S11,PCB MAIN BOARD RS1219+ HDD BP 4LAYER V1.1 PB_FREE,CIRCUITECH,NTD 143.0000,NTD 143.0000
2384,08-04JRI8S12,PCB MAIN BOARD RS1219+ HDD BP 4LAYER V1.2 PB_FREE,CIRCUITECH,,NTD 143.0000
2385,08-04JRR4110,PCB MAIN BOARD JRR41L2 4LAYER V1.0 PB_FREE,CIRCUITECH,"NTD 1,333.3333",
2386,08-04JRR4111,PCB MAIN BOARD JRR41L2 4LAYER V1.1 PB_FREE,CIRCUITECH,NTD 800.0000,
2387,08-04JRR4112,PCB MAIN BOARD JRR41L2 4LAYER V1.2 PB_FREE,CIRCUITECH,NTD 128.0000,NTD 160.0000
2388,08-04KDIM210,PCB DS_7bay_M2_BP 4LAYER V1.0 PB_FREE,CIRCUITECH,NTD 30.0000,NTD 30.0000
2389,08-04KDR2110,PCB MAIN BOARD KDR21L1 4LAYER V1.0 PB_FREE,CIRCUITECH,,
2390,08-04KDR21C1,PCB MB KDR21L1 4LAYER V1.1,CIRCUITECH,,
2391,08-04KDR2210,PCB MAIN BOARD KDR22L1 4LAYER V1.0 PB_FREE,KINTECH,,
2392,08-04KDR22C1,PCB MB DS220(KDR22L1) 4LAYER V1.1,CIRCUITECH,,NTD 143.0000
2393,08-04KFRCSC0,PCB MAIN BOARD FAN BP KFRCSL0 4LAYER V1.0 PB_FREE,CIRCUITECH,,
2394,08-04KND6PC0,PCB BP M2 DS1621+(KDJ61L4) 4LAYER V1.0,CIRCUITECH,,
2395,08-04KND6PC1,PCB BP M2 DS1621+(KDJ61L4) 4LAYER V1.1,CIRCUITECH,,
2396,08-04KND6PC2,PCB BP M2 DS1621+(KDJ61L4) 4LAYER V1.2,CIRCUITECH,NTD 30.0000,NTD 30.0000
2397,08-04KND6XC0,PCB NVME BOARD KND6XC V1.0 PB_FREE,CIRCUITECH,NTD 27.0000,NTD 27.0000
2398,08-04MBTB110,PCB RS 2U BP/LED TEST BOARD 4LAYER V1.0 PB_FREE,KINTECH,,
2399,08-04MDR11C0,PCB MB MDR11L1 4LAYER V1.0,CIRCUITECH,,
2400,08-04MLXEHC0,PCB BP LED 4LAYERS RX6020sas V1.0 PB_FREE,CIRCUITECH,,
2401,08-04MLXEHC1,PCB BP LED 4LAYERS RX6020sas V1.1 PB_FREE,CIRCUITECH,NTD 6.5000,NTD 6.5000
2402,08-04MVSWB10,PCB SWITCH BOARD for Router 4LAYER V1.0,KINTECH,"NTD 2,000.0000",NTD 72.0000
2403,08-04MVSWB11,PCB SWITCH BOARD for Router 4LAYER V1.1,KINTECH,"NTD 2,000.0000",
2404,08-04NDXC1C0,PCB MB DX1221(NDXC1L0) 4LAYERS V1.0,CIRCUITECH,NTD 191.0000,NTD 191.0000
2405,08-04NVTOP10,PCB OPTION BOARD NVR 4LAYER V1.0,KINTECH,NTD 666.6667,NTD 27.0000
2406,08-04NVTOP11,PCB OPTION BOARD NVR 4LAYER V1.1,KINTECH,NTD 25.6092,NTD 26.0000
2407,08-04PAM01H0,PCB CARD 10G E10G30-T1 4LAYERS V1.0 (NP155F),"HannStar Board Co., Ltd",NTD 95.0000,NTD 95.0000
2408,08-04PCIM210,PCB DS419+ M2 BP 4LAYER V1.0 PB_FREE,CIRCUITECH,,
2409,08-04PDR11C0,PCB MB DS123(PDR11L1) 4LAYERS V1.0 (NP-155F),CIRCUITECH,NTD 75.0000,NTD 75.0000
2410,08-04PDR21C0,PCB MB DS222j(PDR21L1) 4LAYERS V1.0 (NP-155F),CIRCUITECH,,
2411,08-04PDR21C1,PCB MB DS222j(PDR21L1) 4LAYERS V1.1 (NP-155F),CIRCUITECH,NTD 750.0000,
2412,08-04PDR21C2,PCB MB DS223j(PDR21L1) 4LAYERS V1.2 (NP-155F),CIRCUITECH,NTD 76.0000,NTD 76.0000
2413,08-04PDR22C0,PCB MB DS222(PDR22L1) 4LAYERS V1.0 (NP-155F),CIRCUITECH,,
2414,08-04PDR22C1,PCB MB DS223(PDR22L1) 4LAYERS V1.1 (NP-155F),CIRCUITECH,NTD 147.0000,NTD 147.0000
2415,08-04PDR41C0,PCB MB DS422(PDR41L2) 4LAYERS V1.0 (NP-155F),CIRCUITECH,NTD 153.0000,NTD 153.0000
2416,08-04PDR41C1,PCB MB DS423(PDR41L2) 4LAYERS V1.1 (NP-155F),CIRCUITECH,NTD 153.0000,NTD 153.0000
2417,08-04PEXCL10,PCB BANANA SPLIT Demo BOARD 4LAYER V1.0 PB_FREE,CIRCUITECH,"NTD 2,000.0000",
2418,08-04PEXTB10,PCB MAIN BOARD PEX8603 test board 4LAYER V1.0 PB_FREE,CIRCUITECH,"NTD 3,940.0000",
2419,08-04PRXC1C0,PCB MB RX1222RP(PRXC1L0) 4LAYERS V1.0 (NPG-171),CIRCUITECH,NTD 500.0000,
2420,08-04PRXC1C1,PCB MB RX1223RP(PRXC1L0) 4LAYERS V1.1 (NPG-171),CIRCUITECH,NTD 223.0000,NTD 223.0000
2421,08-04PSUTF10,PCB PSU TEST FIXTURE BOARD 4LAYER V1.0 PB_FREE,CIRCUITECH,"NTD 1,000.0000",
2422,08-04PTSTF10,PCB PSU POWER Test Fixture BOARD 4LAYER V1.0 PB_FREE,CIRCUITECH,"NTD 4,000.0000",
2423,08-04PWRBP10,PCB RS1619XS+_PWR_BP 4LAYER V1.0,CIRCUITECH,NTD 63.0000,NTD 63.0000
2424,08-04PWRFX10,PCB PSU POWER FIXTURE BOARD 4LAYER V1.0 PB_FREE,CIRCUITECH,"NTD 2,000.0000",
2425,08-04QDR11C0,PCB MB BS150(QDR11L1) 4LAYERS V1.0 (NP-155F),CIRCUITECH,,
2426,08-04QDR11C1,PCB MB BS150(QDR11L1) 4LAYERS V1.1 (NP-155F),CIRCUITECH,,NTD 70.0000
2427,08-04QDX51C0,PCB MB DX523(QDX51L0) 4LAYERS V1.0 (TG-150),CIRCUITECH,,
2428,08-04QDX51C1,PCB MB DX524(QDX51L0) 4LAYERS V1.1 (TG-150),CIRCUITECH,,
2429,08-04QRX41_0,*PCB MB RX424(QRX41L0) 4LAYERS V1.0 (NPG-171?),CIRCUITECH,,
2430,08-04QRX41C0,PCB MB RX424(QRX41L0) 4LAYERS V1.0 (TG-150),CIRCUITECH,,
2431,08-04R216L11,PCB MAIN BOARD RS2BAY-FP 4LAYER V1.1 PB_FREE,CIRCUITECH,,
2432,08-04R216L12,*PCB MAIN BOARD RS2BAY-FP 4LAYER V1.2 PB_FREE,CIRCUITECH,NTD 12.0000,NTD 12.0000
2433,08-04R216L13,PCB MAIN BOARD RS217 USB BP 4LAYER V1.3 PB_FREE,CIRCUITECH,NTD 12.0000,NTD 12.0000
2434,08-04R818P10,PCB PSU BP BOARD RP_PWER_BP 4LAYER V1.0 PB_FREE,CIRCUITECH,"NTD 1,250.0000",
2435,08-04R818P11,PCB PSU BP BOARD RP_PWER_BP 4LAYER V1.1 PB_FREE,CIRCUITECH,,
2436,08-04R818P12,PCB PSU BP BOARD RP_PWER_BP 4LAYER V1.2 PB_FREE,CIRCUITECH,NTD 41.0000,NTD 41.0000
2437,08-04RDRC010,PCB 2U-RSD-RISER-CARD 4LAYER V1.0 PB_FREE,CIRCUITECH,NTD 45.0000,NTD 45.0000
2438,08-04RKMBP10,PCB BP SAS 4LAYER V1.0 PB_FREE,CIRCUITECH,NTD 500.0000,
2439,08-04RKMBP11,PCB BP SAS 4LAYER V1.1 PB_FREE,CIRCUITECH,NTD 500.0000,
2440,08-04RKMBP12,PCB BP SAS 4LAYER V1.2 PB_FREE,CIRCUITECH,NTD 166.6667,NTD 64.0000
2441,08-04RKMBP13,PCB BP SAS 4LAYER V1.3 PB_FREE,CIRCUITECH,NTD 64.0000,NTD 64.0000
2442,08-04RKMBP14,PCB BP SAS 4LAYER V1.4 PB_FREE,CIRCUITECH,NTD 333.3333,
2443,08-04RKMBP15,PCB BP SAS 4LAYER V1.5 PB_FREE,CIRCUITECH,NTD 64.0000,NTD 64.0000
2444,08-04RKMBP16,PCB BP SAS 4LAYER V1.6 PB_FREE,KINTECH,NTD 72.3969,NTD 73.5000
2445,08-04RPPWR10,PCB BP POWER SOLUTION 4LAYER V1.0 PB_FREE,CIRCUITECH,"NTD 2,000.0000",
2446,08-04RPPWR11,PCB BP POWER SOLUTION 4LAYER V1.1 PB_FREE,KINTECH,"NTD 1,970.0000",
2447,08-04RPPWR12,PCB BP POWER SOLUTION 4LAYER V1.2 PB_FREE,CIRCUITECH,NTD 666.6667,
2448,08-04RPPWR13,PCB BP POWER SOLUTION 4LAYER V1.3 PB_FREE,CIRCUITECH,NTD 83.0000,NTD 83.0000
2449,08-04RPRC010,PCB BP 1U RP RISER CARD 4LAYER V1.0 PB_FREE,CIRCUITECH,NTD 400.0000,
2450,08-04RPRC011,PCB BP 1U RP RISER CARD 4LAYER V1.1 PB_FREE,CIRCUITECH,NTD 35.0000,NTD 35.0000
2451,08-04RPRC012,PCB BP 1U RP RISER CARD 4LAYER V1.2 PB_FREE,CIRCUITECH,,NTD 35.0000
2452,08-04RPRC013,PCB BP 1U RP RISER CARD 4LAYERS V1.3 PB_FREE,CIRCUITECH,NTD 34.0000,NTD 34.0000
2453,08-04RS2BP12,PCB BP RS212 4LAYER V1.2 PB_FREE,KINTECH,NTD 159.5680,NTD 162.0000
2454,08-04RS40710,PCB MAIN BOARD RS407 R2 4LAYER V1.0 PB_FREE,CIRCUITECH,"NTD 20,000.0000","NTD 20,000.0000"
2455,08-04RS40712,PCB MAIN BOARD RS407 R2 4LAYER V1.2 PB_FREE,CIRCUITECH,NTD 145.0000,NTD 145.0000
2456,08-04RSBP010,PCB MAIN BOARD RS407 背板 4LAYER V1.0 PB_FREE,TEAN,"NTD 2,500.0000","NTD 2,500.0000"
2457,08-04RSBP011,PCB MAIN BOARD RS407 背板 4LAYER V1.1 PB_FREE,TEAN,NTD 13.0000,NTD 13.0000
2458,08-04RSBP012,PCB MAIN BOARD RS40X 背板 4LAYER V1.2 PB_FREE,CIRCUITECH,NTD 55.0000,NTD 15.0000
2459,08-04RTRBP10,PCB BP ROUTER 4LAYER V1.0 PB_FREE,CIRCUITECH,"NTD 1,000.0000",
2460,08-04RTRBP11,PCB BP ROUTER 4LAYER V1.1 PB_FREE,CIRCUITECH,"NTD 2,000.0000",
2461,08-04RX40010,PCB MAIN BOARD RX4 4LAYER V1.0 PB_FREE,CIRCUITECH,NTD 145.0000,NTD 145.0000
2462,08-04RX41010,PCB MAIN BOARD RX410 4LAYER V1.0 PB_FREE,CIRCUITECH,"NTD 2,500.0000",
2463,08-04RX41011,PCB MAIN BOARD RX410 4LAYER V1.1 PB_FREE,KINTECH,NTD 211.7750,NTD 215.0000
2464,08-04RX41310,PCB MAIN BOARD RX413 4LAYER V1.0 PB_FREE,CIRCUITECH,"NTD 1,200.0000",
2465,08-04RX4BP10,PCB BP RS410BP 4LAYER V1.0 PB_FREE,CIRCUITECH,"NTD 2,000.0000",
2466,08-04RX4BP11,PCB BP RS410BP 4LAYER V1.1 PB_FREE,CIRCUITECH,NTD 666.7000,
2467,08-04RX4BP12,PCB BP RS410BP 4LAYER V1.2 PB_FREE,CIRCUITECH,NTD 126.0000,NTD 126.0000
2468,08-04RX4BP13,PCB BP RS410BP 4LAYER V1.3 PB_FREE,CIRCUITECH,NTD 97.0000,NTD 97.0000
2469,08-04RX4BP14,PCB BP RS410BP 4LAYER V1.4 PB_FREE,CIRCUITECH,NTD 97.0000,NTD 97.0000
2470,08-04RX4BP15,PCB BP RS410BP 4LAYER V1.5 PB_FREE,CIRCUITECH,,
2471,08-04RX4BP16,PCB BP BOARD RS410BP 4LAYER V1.6 PB_FREE,CIRCUITECH,NTD 104.0000,NTD 104.0000
2472,08-04RX4RP10,PCB MAIN BOARD RS810RP+ BP 4LAYER V1.0 PB_FREE,CIRCUITECH,"NTD 1,000.0000",
2473,08-04RX4RP11,PCB MAIN BOARD RS810RP+ BP 4LAYER V1.1 PB_FREE,CIRCUITECH,NTD 337.0000,NTD 337.0000
2474,08-04RX4RP20,PCB MAIN BOARD RS814RP+BP 4LAYER V1.0 PB_FREE,CIRCUITECH,"NTD 1,970.0000",
2475,08-04RX4RP21,PCB MAIN BOARD RS814RP+BP 4LAYER V1.1 PB_FREE,KINTECH,NTD 362.4800,NTD 368.0000
2476,08-04RX4RP22,PCB MAIN BOARD RS814RP+BP 4LAYER V1.2 PB_FREE,KINTECH,NTD 359.5333,NTD 365.0000
2477,08-04RX4RP23,PCB MAIN BOARD RS814RP+BP 4LAYER V1.3 PB_FREE,KINTECH,,
2478,08-04RXC1410,PCB MAIN BOARD RXC14 4LAYER V1.0 PB_FREE,KINTECH,"NTD 1,970.0000",
2479,08-04RXC1411,PCB MAIN BOARD RXC14 4LAYER V1.1 PB_FREE,KINTECH,"NTD 1,313.3333",NTD 290.0000
2480,08-04RXC1412,PCB MAIN BOARD RX1214(RXC14) 4LAYER V1.2 PB_FREE,KINTECH,NTD 275.8000,NTD 275.0000
2481,08-04RXC1610,PCB MAIN BOARD RXC16 4LAYER V1.0 PB_FREE,CIRCUITECH,,
2482,08-04RXC1611,PCB MAIN BOARD RXC16 4LAYER V1.1 PB_FREE,CIRCUITECH,NTD 226.0000,NTD 226.0000
2483,08-04RXC1612,PCB MB RX1217(RXC16L0) 4LAYERS V1.2 (TU872LK),CIRCUITECH,NTD 226.0000,NTD 226.0000
2484,08-04RXCBX11,PCB RXC PANEL BOARD 4LAYER V1.1 PB_FREE,CIRCUITECH,"NTD 3,333.3333",
2485,08-04RXCBX12,PCB RXC PANEL BOARD 4LAYER V1.2 PB_FREE,KINTECH,NTD 310.0000,NTD 310.0000
2486,08-04RXCBX13,PCB MAIN BOARD RX1211(RXC_BOX) 4LAYER V1.3 PB_FREE,KINTECH,NTD 290.5800,NTD 295.0000
2487,08-04SBFMC10,PCB (17series) SATA_BP _CONN _FIXTURE_MALE V1.0 PB_FREE,KINTECH,,
2488,08-04STUBP10,PCB MAIN BOARD SATA TO USB3 TEST FIXTURE 4LAYER V1.0 PB_FREE,KINTECH,NTD 666.6667,NTD 43.0000
2489,08-04STUBP11,PCB MAIN BOARD SATA TO USB3 TEST FIXTURE 4LAYER V1.1 PB_FREE,CIRCUITECH,NTD 200.0000,
2490,08-04SWBP110,PCB BP DS214air SW_ BP 4LAYER V1.0 PB_FREE,CIRCUITECH,"NTD 2,000.0000",
2491,08-04SWBP111,PCB BP DS214air SW_ BP 4LAYER V1.1 PB_FREE,KINTECH,"NTD 1,313.3333",
2492,08-04SWBP112,PCB BP DS214air SW_ BP 4LAYER V1.2 PB_FREE,CIRCUITECH,NTD 571.4286,
2493,08-04SWBP113,PCB BP DS215air SW_ BP 4LAYER V1.3 PB_FREE,CIRCUITECH,NTD 571.4286,
2494,08-04SWBP114,PCB BP DS215air SW_ BP 4LAYER V1.4 PB_FREE,KINTECH,"NTD 1,313.3333",
2495,08-04SWBP115,PCB BP DS215air SW_ BP 4LAYER V1.5 PB_FREE,KINTECH,,
2496,08-04UART110,PCB BP 2P UART CARD 4LAYER V1.0 PB_FREE,KINTECH,"NTD 2,000.0000",
2497,08-04UART111,PCB BP 2P UART CARD 4LAYER V1.1 PB_FREE,KINTECH,,
2498,08-04UART112,PCB BP 2P UART CARD 4LAYER V1.2 PB_FREE,KINTECH,NTD 90.0000,NTD 90.0000
2499,08-04US20113,PCB MAIN BOARD SUS-201 4LAYER V1.3 PB_FREE,CIRCUITECH,NTD 106.0000,NTD 56.0000
2500,08-04US20310,PCB MAIN BOARD SUS-203 4LAYER V1.0 PB_FREE,CIRCUITECH,"NTD 1,000.0000",
2501,08-04US30110,PCB USB US3 Flash Module 4LAYER V1.0 PB_FREE,CIRCUITECH,"NTD 2,500.0000",
2502,08-04US3CR01,PCB USB US3 Flash Module 4LAYER V1.0 PB_FREE,CIRCUITECH,NTD 200.0000,
2503,08-04US3CR10,PCB US3 Flash Carrier 4LAYER V1.0 PB_FREE,CIRCUITECH,,
2504,08-04USB0210,PCB USB Flash BP(with IT1165E-48B) 4LAYER V1.0 PB_FREE,CIRCUITECH,NTD 66.6667,
2505,08-04USB0310,PCB USB Flash BP(with PS2251-68) 4LAYER V1.0 PB_FREE,CIRCUITECH,NTD 6.0000,NTD 6.0000
2506,08-04USB0311,PCB USB Flash BP 4LAYER V1.1 PB_FREE,CIRCUITECH,NTD 6.0000,NTD 6.0000
2507,08-04USBAU01,PCB USB_AUDIO 4LAYER V1.0 PB_FREE,KINTECH,NTD 29.0000,NTD 29.0000
2508,08-04USBAU11,PCB USB AUDIO BP 4LAYER V1.1 PB_FREE,KINTECH,NTD 28.5650,NTD 29.0000
2509,08-04USBCR10,PCB USB Flash Carrier 4LAYER V1.0 PB_FREE,CIRCUITECH,NTD 33.3333,NTD 6.0000
2510,08-04X12ES10,PCB ESATA-BP DS1512+ 4Layer V1.0 PB_FREE,CIRCUITECH,"NTD 1,000.0000",
2511,08-04X12ES11,PCB ESATA-BP DS1512+ 4Layer V1.1 PB_FREE,CIRCUITECH,NTD 53.0000,NTD 53.0000
2512,08-04XXTBP10,PCB TOWER BP 4LAYER V1.0 PB_FREE,CIRCUITECH,"NTD 2,000.0000",
2513,08-04XXTBP11,PCB TOWER BP 4LAYER V1.1 PB_FREE,CIRCUITECH,"NTD 1,333.4000",
2514,08-04XXTBP12,PCB TOWER BP 4LAYER V1.2 PB_FREE,CIRCUITECH,NTD 300.0000,NTD 300.0000
2515,08-0610GBT10,PCB MAIN BOARD 10G-BASE-T-CARD 6LAYER V1.0 PB_FREE,CIRCUITECH,NTD 80.0000,NTD 80.0000
2516,08-06210GT10,PCB MAIN BOARD E10G17-T2 6LAYER V1.0 PB_FREE,CIRCUITECH,,
2517,08-06210GT11,PCB MAIN BOARD E10G17-T2 6LAYER V1.1 PB_FREE,CIRCUITECH,NTD 151.0000,NTD 151.0000
2518,08-062URBP10,PCB SATA BOARD 2U 12bay HDD BP 6LAYER V1.0 PB_FREE,CIRCUITECH,"NTD 2,000.0000",
2519,08-062URBP11,PCB SATA BOARD 2U 12bay HDD BP 6LAYER V1.1 PB_FREE,CIRCUITECH,"NTD 1,500.0000",
2520,08-062URBP12,PCB SATA BOARD 2U 12bay HDD BP 6LAYER V1.2 PB_FREE,CIRCUITECH,,
2521,08-062URBP13,PCB SATA BOARD 2U 12bay HDD BP 6LAYER V1.3,CIRCUITECH,NTD 330.0000,NTD 330.0000
2522,08-062URBP14,PCB SATA BOARD 2U 12bay HDD BP 6LAYER V1.4,CIRCUITECH,,
2523,08-062URBP15,PCB SATA BOARD 2U 12bay HDD BP 6LAYER V1.5,CIRCUITECH,NTD 330.0000,NTD 330.0000
2524,08-062URBP16,PCB SATA BOARD 2U 12bay HDD BP 6LAYER V1.6,CIRCUITECH,NTD 393.0000,NTD 393.0000
2525,08-062URBP17,PCB SATA BOARD 2U 12bay HDD BP 6LAYER V1.7,CIRCUITECH,NTD 360.0000,NTD 360.0000
2526,08-063UEVB10,PCB 3U_16BAY_SATA_EVB 6LAYER V1.0 PB_FREE,CIRCUITECH,,
2527,08-063USBP10,PCB 3U 16BAY SATA BP 6LAYER V1.0 PB_FREE,CIRCUITECH,"NTD 2,500.0000",
2528,08-063USBP11,PCB 3U 16BAY SATA BP 6LAYER V1.1 PB_FREE,CIRCUITECH,NTD 440.0000,NTD 440.0000
2529,08-063USBP12,PCB 3U 16BAY SATA BP 6LAYER V1.2 PB_FREE,CIRCUITECH,NTD 440.0000,NTD 440.0000
2530,08-064MSBP10,PCB BP TWO-miniSAS 6LAYER V1.0 PB_FREE,CIRCUITECH,"NTD 1,944.4444",
2531,08-06617HD12,PCB SATA DS3018xs SATA BP 6LAYER V1.2 PB_FREE,CIRCUITECH,NTD 210.0000,NTD 210.0000
2532,08-06810BP10,PCB MAIN BOARD 2017_8BAY_HDDBP 6LAYER V1.0 PB_FREE,CIRCUITECH,,
2533,08-06810BP11,PCB MAIN BOARD 2017_8BAY_HDDBP 6LAYER V1.1 PB_FREE,CIRCUITECH,,
2534,08-06810BP12,PCB BOARD 2017_8BAY_HDDBP 6LAYER V1.2 PB_FREE,CIRCUITECH,NTD 229.0000,NTD 229.0000
2535,08-069DF1210,PCB MAIN BOARD 9DF12L1 6LAYER V1.0 PB_FREE,CIRCUITECH,"NTD 7,000.0000","NTD 7,000.0000"
2536,08-069DF1211,PCB MAIN BOARD DS109+(9DF12L1) 6LAYER V1.1 PB_FREE,CIRCUITECH,NTD 280.0000,NTD 280.0000
2537,08-069DF1310,PCB MAIN BOARD DS110+(9DF13L1) 6LAYER V1.0 PB_FREE,CIRCUITECH,"NTD 2,500.0000",
2538,08-069DF1311,PCB MAIN BOARD DS110+(9DF13L1) 6LAYER V1.1 PB_FREE,CIRCUITECH,NTD 280.0000,NTD 280.0000
2539,08-069DF2310,PCB MAIN BOARD 9DF23L1 6LAYER V1.0 PB_FREE,CIRCUITECH,"NTD 4,375.0000","NTD 4,375.0000"
2540,08-069DF2311,PCB MAIN BOARD DS209+II 9DF23L1 6LAYER V1.1 PB_FREE,CIRCUITECH,NTD 290.0000,NTD 315.0000
2541,08-069DF2510,PCB MAIN BOARD DS209+IIR2(9DF25L1) 6LAYER V1.0 PB_FREE,CIRCUITECH,"NTD 3,500.0000","NTD 3,500.0000"
2542,08-069DF2511,PCB MAIN BOARD DS209+IIR2(9DF25L1) 6LAYER V1.1 PB_FREE,CIRCUITECH,,
2543,08-069DF2512,PCB MAIN BOARD DS209+IIR1(9DF25L1) 6LAYER V1.2 PB_FREE,CIRCUITECH,NTD 280.0000,NTD 280.0000
2544,08-069DF2513,PCB MAIN BOARD DS209+IIR1(9DF25L1) 6LAYER V1.3 PB_FREE,CIRCUITECH,NTD 280.0000,NTD 280.0000
2545,08-069DF4310,PCB MAIN BOARD DS409+R2 (9DF4310) 6LAYER V1.0 PB_FREE,CIRCUITECH,,
2546,08-069DF4311,PCB MAIN BOARD DS409+R2 (9DF43L1) 6LAYER V1.1 PB_FREE,CIRCUITECH,"NTD 1,167.0000",
2547,08-069DF4312,PCB MAIN BOARD DS409+R1 (9DF43L1) 6LAYER V1.2 PB_FREE,CIRCUITECH,NTD 290.0000,NTD 290.0000
2548,08-069DF4313,PCB MAIN BOARD DS409+R1 (9DF43L1) 6LAYER V1.3 PB_FREE,CIRCUITECH,NTD 290.0000,NTD 290.0000
